Source,Target,Type,Id,Label,timeset,Weight
27835117,4163556,Directed,389,,,1
27835117,8091161,Directed,390,,,1
27835117,10038725,Directed,391,,,1
27835117,11032809,Directed,392,,,1
27835117,11758244,Directed,393,,,1
27835117,11995332,Directed,394,,,1
27835117,12545133,Directed,395,,,1
27835117,13678754,Directed,396,,,1
27835117,19745720,Directed,397,,,1
27835117,22643458,Directed,398,,,1
27835117,24457357,Directed,399,,,1
27835117,31918619,Directed,400,,,1
27835117,48920357,Directed,401,,,1
27835117,55859088,Directed,402,,,1
27835117,57578133,Directed,403,,,1
27835117,58591324,Directed,404,,,1
27835117,87659298,Directed,405,,,1
27835117,103643300,Directed,406,,,1
27835117,112323601,Directed,407,,,1
27835117,117257470,Directed,408,,,1
27835117,118572183,Directed,409,,,1
27835117,123135073,Directed,410,,,1
27835117,147738745,Directed,411,,,1
27835117,169281899,Directed,412,,,1
27835117,321776160,Directed,413,,,1
27835117,335066620,Directed,414,,,1
27835117,349975431,Directed,415,,,1
29560623,8091161,Directed,416,,,1
29560623,11032809,Directed,417,,,1
29560623,12545133,Directed,418,,,1
29560623,19745720,Directed,419,,,1
29560623,24457357,Directed,420,,,1
29560623,55859088,Directed,421,,,1
29560623,57578133,Directed,422,,,1
29560623,58591324,Directed,423,,,1
29560623,87659298,Directed,424,,,1
29560623,103643300,Directed,425,,,1
29560623,123135073,Directed,426,,,1
29560623,169281899,Directed,427,,,1
29560623,263173351,Directed,428,,,1
29560623,319946857,Directed,429,,,1
29560623,321380523,Directed,430,,,1
29560623,335066620,Directed,431,,,1
29577094,13570592,Directed,432,,,1
29577094,13901621,Directed,433,,,1
29577094,15214765,Directed,434,,,1
29577094,19528233,Directed,435,,,1
29577094,27362559,Directed,436,,,1
29577094,30326447,Directed,437,,,1
29577094,36013631,Directed,438,,,1
29577094,38375746,Directed,439,,,1
29577094,49737902,Directed,440,,,1
29577094,54719519,Directed,441,,,1
29577094,63059154,Directed,442,,,1
29577094,100320105,Directed,443,,,1
29577094,118145874,Directed,444,,,1
29577094,133009701,Directed,445,,,1
29577094,135539293,Directed,446,,,1
29577094,145599925,Directed,447,,,1
29577094,171081009,Directed,448,,,1
29577094,182912631,Directed,449,,,1
29577094,184481239,Directed,450,,,1
